,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
76,Western Michigan,MAC (West),5,7,.417,4,4,.500,19.0,24.1,-11.72,-5.88,,,,
77,Ball State,MAC (West),5,7,.417,3,5,.375,23.3,26.9,-7.58,-5.50,,,,
78,Central Michigan,MAC (West),4,8,.333,3,5,.375,24.8,28.2,-10.66,-5.16,,,,
79,Northern Illinois,MAC (West),3,9,.250,2,6,.250,27.3,32.8,-11.86,-6.44,,,,
80,Boise State,MWC (Mountain),10,4,.714,8,0,1.000,29.5,19.5,3.54,-4.82,,,,
81,Air Force,MWC (Mountain),10,3,.769,5,3,.625,27.8,13.4,4.13,-7.41,,,,
82,Wyoming,MWC (Mountain),7,6,.538,5,3,.625,21.2,23.9,-5.59,-4.43,,,,
83,Utah State,MWC (Mountain),6,7,.462,5,3,.625,22.2,31.2,-9.52,-4.06,,,,
84,Colorado State,MWC (Mountain),3,9,.250,3,5,.375,13.2,26.9,-14.63,-4.80,,,,
85,New Mexico,MWC (Mountain),2,10,.167,0,8,.000,13.1,26.0,-16.09,-4.26,,,,
86,Fresno State,MWC (West),10,4,.714,7,1,.875,30.6,19.4,4.48,-3.94,,24,24,
87,San Jose State,MWC (West),7,5,.583,5,3,.625,27.4,22.0,-3.92,-8.26,,,,
88,San Diego State,MWC (West),7,6,.538,5,3,.625,21.5,20.5,-3.36,-4.36,,,,
89,Nevada-Las Vegas,MWC (West),5,7,.417,3,5,.375,26.3,28.5,-7.40,-5.48,,,,
90,Hawaii,MWC (West),3,10,.231,2,6,.250,19.8,34.7,-14.31,-4.77,,,,
91,Nevada,MWC (West),2,10,.167,0,8,.000,18.8,30.9,-15.62,-5.04,,,,
92,Utah,Pac-12,10,4,.714,7,2,.778,38.6,21.4,14.80,3.09,7,7,10,
93,USC,Pac-12,11,3,.786,8,1,.889,41.4,29.2,12.13,3.49,14,4,12,
94,Washington,Pac-12,11,2,.846,7,2,.778,39.7,25.8,11.56,0.64,,8,8,
95,Oregon,Pac-12,10,3,.769,7,2,.778,38.8,27.4,13.44,3.67,11,6,15,
96,Oregon State,Pac-12,10,3,.769,6,3,.667,32.2,20.0,12.64,2.33,,16,17,
97,UCLA,Pac-12,9,4,.692,6,3,.667,39.2,29.0,8.88,0.73,,9,21,
98,Washington State,Pac-12,7,6,.538,4,5,.444,26.1,22.9,3.55,2.24,,,,
99,Arizona,Pac-12,5,7,.417,3,6,.333,30.8,36.5,-1.58,3.01,,,,
100,California,Pac-12,4,8,.333,2,7,.222,23.9,27.8,-1.08,2.50,,,,
101,Arizona State,Pac-12,3,9,.250,2,7,.222,26.1,31.4,-5.06,2.20,,,,
102,Stanford,Pac-12,3,9,.250,1,8,.111,21.3,32.2,-3.41,5.43,,,,
103,Colorado,Pac-12,1,11,.083,1,8,.111,15.4,44.5,-12.08,7.92,,,,
104,Georgia,SEC (East),15,0,1.000,8,0,1.000,41.1,14.3,25.48,6.28,3,1,1,
105,Tennessee,SEC (East),11,2,.846,6,2,.750,46.1,22.8,17.90,4.98,,2,6,
106,South Carolina,SEC (East),8,5,.615,4,4,.500,32.2,28.8,7.71,4.17,,20,23,
107,Kentucky,SEC (East),7,6,.538,3,5,.375,20.4,19.2,6.05,4.74,20,7,,
108,Florida,SEC (East),6,7,.462,3,5,.375,29.5,28.8,6.92,7.00,,12,,
109,Missouri,SEC (East),6,7,.462,3,5,.375,24.8,25.2,4.95,4.49,,,,
110,Vanderbilt,SEC (East),5,7,.417,2,6,.250,24.6,36.0,-1.14,5.11,,,,
111,Alabama,SEC (West),11,2,.846,6,2,.750,41.1,18.2,19.66,4.58,1,1,5,
112,LSU,SEC (West),10,4,.714,6,2,.750,34.5,22.5,13.29,6.14,,6,16,
113,Mississippi State,SEC (West),9,4,.692,4,4,.500,31.6,23.1,11.84,5.30,,16,20,
114,Ole Miss,SEC (West),8,5,.615,4,4,.500,33.5,25.5,8.36,4.05,21,7,,
115,Arkansas,SEC (West),7,6,.538,3,5,.375,32.5,30.6,5.95,5.10,19,10,,
116,Auburn,SEC (West),5,7,.417,2,6,.250,24.8,29.5,3.90,7.40,,,,
117,Texas A&M,SEC (West),5,7,.417,2,6,.250,22.8,21.2,3.21,3.13,6,6,,
118,James Madison,Sun Belt (East),8,3,.727,6,2,.750,37.0,20.9,5.37,-4.73,,25,,
119,Coastal Carolina,Sun Belt (East),9,4,.692,6,2,.750,29.1,31.8,-3.12,-2.66,,23,,
120,Marshall,Sun Belt (East),9,4,.692,5,3,.625,24.5,16.0,2.36,-3.95,,,,
121,Appalachian State,Sun Belt (East),6,6,.500,3,5,.375,34.9,26.8,0.63,-3.71,,,,
122,Georgia Southern,Sun Belt (East),6,7,.462,3,5,.375,32.7,31.6,-4.07,-3.14,,,,
123,Georgia State,Sun Belt (East),4,8,.333,3,5,.375,30.0,31.2,-4.71,-1.88,,,,
124,Old Dominion,Sun Belt (East),3,9,.250,2,6,.250,19.5,26.6,-8.35,-1.85,,,,
125,Troy,Sun Belt (West),12,2,.857,7,1,.875,25.6,17.1,6.42,-2.51,,19,19,
126,South Alabama,Sun Belt (West),10,3,.769,7,1,.875,31.2,21.3,2.46,-5.46,,,,
127,Southern Mississippi,Sun Belt (West),7,6,.538,4,4,.500,25.3,23.5,-3.89,-3.81,,,,
128,Louisiana,Sun Belt (West),6,7,.462,4,4,.500,26.2,22.8,-0.50,-3.19,,,,
129,Louisiana-Monroe,Sun Belt (West),4,8,.333,3,5,.375,22.3,34.4,-7.81,-0.64,,,,
130,Texas State,Sun Belt (West),4,8,.333,2,6,.250,21.1,26.3,-10.04,-4.46,,,,
131,Arkansas State,Sun Belt (West),3,9,.250,1,7,.125,25.0,31.4,-10.77,-2.52,,,,
